safra,ano_inicio,producao_etanol_milho_bilhoes_L,producao_etanol_total_bilhoes_L,participacao_milho_pct,num_usinas,participacao_MT_pct,participacao_GO_pct,producao_etanol_milho_MT_bilhoes_L,producao_etanol_milho_GO_bilhoes_L,crescimento_yoy_pct
2014/15,2014,0.085,28.0,0.3,1,100.0,0.0,0.085,0.0,
2015/16,2015,0.15,27.5,0.5,2,100.0,0.0,0.15,0.0,76.47058823529409
2016/17,2016,0.35,27.8,1.3,3,95.0,5.0,0.3325,0.0175,133.33333333333334
2017/18,2017,0.7,26.1,2.7,5,90.0,8.0,0.6299999999999999,0.055999999999999994,100.0
2018/19,2018,1.2,32.0,3.8,7,87.0,11.0,1.0439999999999998,0.132,71.42857142857144
2019/20,2019,1.8,30.7,5.9,9,85.0,13.0,1.53,0.234,50.0
2020/21,2020,2.5,29.8,8.4,11,84.0,14.0,2.1,0.35,38.888888888888886
2021/22,2021,3.5,32.0,10.9,14,83.5,15.1,2.9225,0.5285,39.99999999999999
2022/23,2022,4.8,34.5,13.9,17,80.0,17.0,3.84,0.816,37.142857142857146
2023/24,2023,5.96,35.5,16.8,20,75.0,20.0,4.47,1.192,24.16666666666667
2024/25,2024,8.3,37.3,22.2,24,70.0,22.0,5.81,1.8260000000000003,39.26174496644297
